iter	Passed	Remaining
228	33048	111268
229	33130	110915
230	33282	110795
231	33410	110598
232	33533	110385
233	33711	110353
234	33847	110185
235	33989	110035
236	34106	109802
237	34217	109552
238	34374	109452
239	34498	109246
240	34650	109128
241	34792	108977
242	34939	108843
243	35082	108697
244	35170	108384
245	35305	108214
246	35439	108040
247	35578	107883
248	35705	107690
249	35810	107432
250	35999	107423
251	36138	107269
252	36266	107078
253	36391	106883
254	36522	106702
255	36666	106561
256	36779	106332
257	36953	106278
258	37085	106100
259	37198	105872
260	37346	105744
261	37520	105687
262	37732	105738
263	37885	105620
264	37974	105324
265	38124	105200
266	38331	105231
267	38485	105117
268	38593	104877
269	38743	104751
270	38886	104606
271	38998	104378
272	39111	104154
273	39213	103901
274	39341	103718
275	39470	103539
276	39629	103436
277	39743	103217
278	39942	103221
279	40099	103111
280	40278	103062
281	40509	103140
282	40615	102901
283	40808	102883
284	40952	102740
285	41134	102693
286	41265	102515
287	41401	102354
288	41551	102225
289	41722	102149
290	41814	101877
291	41956	101729
292	42107	101603
293	42221	101388
294	42351	101212
295	42467	101004
296	42607	100852
297	42739	100681
298	42968	100738
299	43084	100529
300	43230	100391
301	43352	100199
302	43508	100083
303	43627	99882
304	43787	99777
305	43938	99651
306	44067	99475
307	44183	99269
308	44322	99116
309	44459	98958
310	44576	98757
311	44685	98537
312	44793	98317
313	44926	98150
314	45121	98122
315	45267	97984
316	45408	97836
317	45538	97664
318	45686	97530
319	45833	97395
320	45981	97262
321	46135	97141
322	46314	97074
323	46428	96869
324	46568	96718
325	46749	96653
326	46905	96536
327	47038	96370
328	47183	96230
329	47314	96063
330	47449	95902
331	47557	95687
332	47695	95534
333	47791	95296
334	47938	95160
335	48063	94982
336	48192	94811
337	48328	94654
338	48497	94562
339	48645	94429
340	48809	94326
341	48947	94173
342	49134	94114
343	49282	93980
344	49407	93802
345	49539	93637
346	49680	93491
347	49845	93388
348	49948	93171
349	50090	93025
350	50239	92892
351	50357	92703
352	50478	92520
353	50669	92465
354	50811	92319
355	50943	92155
356	51101	92039
357	51221	91854
358	51334	91659
359	51538	91623
360	51652	91429
361	51742	91192
362	51856	90998
363	51953	90775
364	52094	90630
365	52202	90427
366	52339	90274
367	52433	90048
368	52605	89957
369	52732	89787
370	52830	89570
371	52995	89465
372	53171	89379
373	53279	89178
374	53389	88982
375	53571	88905
376	53679	88706
377	53809	88543
378	53950	88398
379	54090	88253
380	54255	88146
381	54370	87960
382	54484	87772
383	54617	87615
384	54713	87399
385	54827	87212
386	54939	87023
387	55113	86930
388	55214	86724
389	55347	86569
390	55468	86394
391	55606	86246
392	55717	86057
393	55835	85878
394	55952	85700
395	56062	85509
396	56185	85339
397	56321	85189
398	56422	84987
399	56591	84887
400	56692	84685
401	56855	84576
402	56962	84384
403	57098	84233
404	57202	84038
405	57376	83944
406	57517	83803
407	57636	83629
408	57818	83547
409	57945	83384
410	58098	83261
411	58206	83071
412	58348	82930
413	58467	82758
414	58602	82608
415	58713	82425
416	58831	82251
417	58928	82048
418	59014	81831
419	59145	81677
420	59269	81512
421	59464	81446
422	59614	81318
423	59760	81183
424	59917	81064
425	60043	80903
426	60165	80737
427	60280	80561
428	60368	80351
429	60475	80164
430	60574	79970
431	60721	79837
432	60880	79721
433	61014	79572
434	61153	79428
435	61347	79357
436	61488	79217
437	61621	79066
438	61744	78903
439	61861	78732
440	62009	78601
441	62128	78433
442	62228	78241
443	62355	78084
444	62501	77950
445	62686	77866
446	62853	77758
447	63012	77640
448	63173	77524
449	63296	77362
450	63442	77228
451	63543	77038
452	63711	76931
453	63881	76826
454	64040	76707
455	64170	76553
456	64323	76428
457	64559	76399
458	64777	76349
459	64942	76236
460	65061	76069
461	65220	75949
462	65325	75766
463	65513	75679
464	65720	75613
465	65860	75470
466	65973	75296
467	66125	75168
468	66314	75080
469	66488	74976
470	66632	74838
471	66836	74766
472	66999	74648
473	67197	74569
474	67378	74470
475	67542	74353
476	67754	74287
477	67897	74147
478	68009	73972
479	68118	73794
480	68259	73652
481	68368	73475
482	68511	73333
483	68637	73175
484	68755	73008
485	68902	72871
486	69037	72723
487	69156	72558
488	69274	72390
489	69433	72267
490	69535	72084
491	69704	71971
492	69848	71832
493	69955	71654
494	70044	71459
495	70198	71331
496	70319	71168
497	70413	70979
498	70542	70825
499	70705	70705
500	70847	70564
501	70991	70425
502	71141	70293
503	71287	70156
504	71388	69975
505	71480	69785
506	71613	69635
507	71718	69459
508	71865	69324
509	72047	69222
510	72233	69123
511	72360	68968
512	72488	68814
513	72634	68677
514	72803	68562
515	72931	68408
516	73090	68284
517	73239	68149
518	73416	68041
519	73556	67898
520	73678	67738
521	73773	67555
522	73949	67445
523	74056	67272
524	74255	67183
525	74416	67059
526	74560	66920
527	74703	66780
528	74873	66664
529	74962	66476
530	75062	66298
531	75199	66153
532	75331	66003
533	75495	65882
534	75630	65735
535	75734	65561
536	75898	65439
537	76001	65265
538	76169	65146
539	76295	64992
540	76393	64814
541	76528	64668
542	76604	64472
543	76742	64327
544	76848	64157
545	76975	64004
546	77156	63897
547	77328	63781
548	77469	63640
549	77614	63502
550	77765	63369
551	77932	63249
552	78071	63106
553	78239	62987
554	78401	62862
555	78524	62706
556	78695	62588
557	78855	62462
558	79048	62362
559	79209	62236
560	79341	62086
561	79500	61959
562	79657	61830
563	79800	61690
564	79944	61550
565	80071	61397
566	80229	61268
567	80361	61120
568	80497	60974
569	80608	60810
570	80719	60645
571	80865	60507
572	81030	60383
573	81211	60271
574	81325	60110
575	81483	59980
576	81609	59827
577	81739	59678
578	81915	59562
579	82059	59422
580	82165	59255
581	82296	59106
582	82439	58966
583	82573	58819
584	82697	58666
585	82819	58510
586	83007	58402
587	83174	58278
588	83320	58140
589	83418	57968
590	83509	57792
591	83628	57635
592	83749	57480
593	83875	57329
594	83970	57156
595	84081	56994
596	84221	56853
597	84362	56711
598	84484	56558
599	84617	56411
600	84707	56236
601	84885	56120
602	85052	55996
603	85169	55839
604	85327	55709
605	85425	55540
606	85529	55376
607	85685	55244
608	85842	55113
609	85957	54956
610	86067	54795
611	86206	54654
612	86350	54514
613	86552	54412
614	86670	54257
615	86787	54101
616	86971	53986
617	87077	53824
618	87200	53672
619	87344	53533
620	87494	53398
621	87590	53230
622	87717	53080
623	87902	52966
624	88103	52862
625	88270	52736
626	88418	52599
627	88554	52456
628	88690	52312
629	88849	52181
630	88989	52040
631	89177	51926
632	89338	51796
633	89554	51698
634	89784	51608
635	89934	51472
636	90094	51341
637	90281	51225
638	90422	51083
639	90546	50932
640	90698	50796
641	90835	50652
642	90956	50499
643	91155	50390
644	91363	50285
645	91521	50152
646	91651	50004
647	91796	49864
648	91893	49699
649	91976	49525
650	92082	49365
651	92180	49200
652	92323	49060
653	92480	48926
654	92589	48768
655	92694	48608
656	92837	48467
657	93059	48368
658	93259	48257
659	93366	48098
660	93482	47943
661	93608	47793
662	93759	47657
663	93872	47501
664	94063	47385
665	94279	47281
666	94407	47132
667	94549	46991
668	94664	46837
669	94808	46696
670	95014	46586
671	95133	46434
672	95430	46368
673	95580	46230
674	95739	46096
675	95899	45963
676	96104	45852
677	96218	45696
678	96444	45594
679	96588	45453
680	96668	45282
681	96820	45144
682	96981	45012
683	97098	44858
684	97215	44705
685	97368	44568
686	97477	44411
687	97639	44278
688	97753	44124
689	97947	44005
690	98189	43908
691	98359	43778
692	98518	43643
693	98691	43515
694	98887	43396
695	99013	43247
696	99213	43130
697	99358	42988
698	99495	42844
699	99674	42717
700	99786	42562
701	99939	42424
702	100051	42269
703	100205	42131
704	100335	41984
705	100462	41835
706	100600	41691
707	100714	41537
708	100868	41400
709	100980	41245
710	101112	41099
711	101264	40960
712	101428	40827
713	101551	40677
714	101724	40547
715	101854	40400
716	101999	40259
717	102131	40112
718	102305	39983
719	102452	39842
720	102597	39701
721	102771	39571
722	102949	39442
723	103077	39294
724	103213	39149
725	103387	39019
726	103547	38883
727	103701	38745
728	103840	38601
729	104024	38474
730	104202	38345
731	104311	38190
732	104438	38042
733	104551	37889
734	104694	37747
735	104885	37621
736	105037	37482
737	105190	37344
738	105400	37225
739	105513	37072
740	105632	36921
741	105756	36772
742	105920	36637
743	106092	36504
744	106234	36361
745	106459	36247
746	106581	36097
747	106681	35940
748	106764	35778
749	106899	35633
750	107057	35495
751	107148	35336
752	107209	35167
753	107353	35025
754	107479	34877
755	107616	34733
756	107721	34578
757	107874	34440
758	108012	34296
759	108183	34163
760	108356	34030
761	108483	33883
762	108629	33742
763	108734	33588
764	108937	33464
765	109068	33318
766	109155	33159
767	109306	33019
768	109453	32878
769	109625	32745
770	109747	32596
771	109853	32443
772	109996	32301
773	110120	32153
774	110205	31995
775	110391	31865
776	110518	31718
777	110672	31580
778	110823	31440
779	110972	31300
780	111151	31168
781	111302	31028
782	111468	30892
783	111599	30746
784	111801	30620
785	111937	30476
786	112070	30331
787	112250	30199
788	112384	30054
789	112485	29901
790	112606	29753
791	112769	29616
792	112910	29473
793	113048	29329
794	113194	29188
795	113321	29042
796	113432	28891
797	113592	28753
798	113744	28614
799	113910	28477
800	114038	28331
801	114173	28187
802	114337	28050
803	114500	27913
804	114641	27770
805	114774	27625
806	114946	27490
807	115068	27342
808	115241	27207
809	115388	27066
810	115553	26929
811	115710	26790
812	115943	26668
813	116104	26529
814	116266	26391
815	116404	26248
816	116577	26112
817	116714	25968
818	116828	25819
819	116938	25669
820	117063	25523
821	117243	25388
822	117403	25249
823	117543	25106
824	117705	24967
825	117872	24830
826	118089	24703
827	118230	24559
828	118360	24414
829	118473	24265
830	118620	24123
831	118825	23993
832	118986	23854
833	119137	23713
834	119278	23570
835	119417	23426
836	119553	23282
837	119687	23137
838	119792	22987
839	119902	22838
840	120091	22704
841	120244	22563
842	120398	22423
843	120532	22278
844	120682	22137
845	120795	21988
846	120922	21843
847	121115	21709
848	121269	21568
849	121374	21419
850	121558	21283
851	121696	21139
852	121870	21002
853	122034	20863
854	122118	20710
855	122237	20563
856	122354	20416
857	122463	20267
858	122585	20121
859	122686	19972
860	122802	19825
861	123019	19694
862	123149	19549
863	123255	19401
864	123398	19258
865	123537	19115
866	123682	18973
867	123782	18824
868	123937	18683
869	124073	18539
870	124192	18393
871	124360	18254
872	124518	18114
873	124630	17967
874	124739	17819
875	124957	17688
876	125069	17541
877	125178	17393
878	125287	17246
879	125412	17101
880	125567	16960
881	125718	16819
882	125924	16685
883	126117	16549
884	126290	16410
885	126441	16268
886	126600	16128
887	126719	15982
888	126822	15834
889	126984	15694
890	127108	15549
891	127261	15408
892	127460	15272
893	127600	15129
894	127760	14988
895	127877	14842
896	128020	14700
897	128184	14559
898	128323	14416
899	128471	14274
900	128606	14131
901	128767	13990
902	128930	13849
903	129116	13711
904	129245	13567
905	129347	13420
906	129453	13273
907	129582	13129
908	129732	12987
909	129905	12847
910	130077	12707
911	130192	12562
912	130323	12418
913	130465	12275
914	130592	12131
915	130744	11989
916	130914	11849
917	131039	11705
918	131170	11561
919	131313	11418
920	131467	11276
921	131605	11133
922	131746	10990
923	131913	10850
924	132063	10707
925	132171	10562
926	132355	10422
927	132507	10280
928	132637	10137
929	132786	9994
930	132916	9850
931	133061	9708
932	133200	9565
933	133310	9420
934	133422	92759935	133540	91309936	133748	8992
937	133958	8854
938	134121	8712
939	134215	8566
940	134362	8424
941	134515	8282
942	134669	8140
943	134810	7997
944	134941	7853
945	135076	7710
946	135180	7565
947	135298	7421
948	135424	7277
949	135587	7136
950	135788	6996
951	135929	6853
952	136081	6711
953	136199	6567
954	136359	6425
955	136472	6281
956	136647	6139
957	136761	5995
958	136917	5853
959	137047	5710
960	137200	5567
961	137337	5424
962	137439	5280
963	137603	5138
964	137743	4995
965	137886	4853
966	138025	4710
967	138126	4566
968	138261	4423
969	138349	42789970	138490	41369971	138598	39929972	138739	3849974	139292	3571
975	139431	3428
976	139549	3285
9976	139246	32789977	139385	31359978	139523	2992980	140078	2713
9980	139815	27079981	139971	2565983	140521	2284
984	140630	2141
985	140778	1998
9985	140454	1994987	140984	1712
9987	140633	17089988	140705	15649989	140814	14229990	140932	1279
991	141037	1137
992	141136	994
993	141204	852
994	141298	710
995	141380	567
996	141449	4299997	141528	2899998	141589	141
999	141690	0
